batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells
1;2070;2505;1.0;0.847457627118644;1.0;0.9174311926605504;1.0;100.0;118.0;100.0;100;100.0;0;100.0
2;2128;2379;0.8508771929824561;0.8362068965517241;0.9897959183673469;0.8434782608695652;0.9150943396226416;98.0;116.0;97.0;169;114.0;17.0;97.0
3;2171;2359;1.0;0.856;0.9907407407407407;0.9224137931034483;0.9953488372093023;108.0;125.0;107.0;129;107.0;0;107.0
4;1946;2538;0.9880952380952381;0.5533333333333333;0.8736842105263158;0.7094017094017094;0.9273743016759777;95.0;150.0;83.0;139;84.0;1.0;83.0
