batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells
1;2070;2505;1.0;0.847457627118644;1.0;0.9174311926605504;1.0;100.0;118.0;100.0;100;100.0;0;100.0
2;2155;2398;0.8508771929824561;0.8362068965517241;0.9897959183673469;0.8434782608695652;0.9150943396226416;98.0;116.0;97.0;114;114.0;17.0;97.0
3;2181;2436;1.0;0.856;0.9907407407407407;0.9224137931034483;0.9953488372093023;108.0;125.0;107.0;107;107.0;0;107.0
4;2123;2444;0.9921259842519685;0.84;0.9767441860465116;0.9097472924187726;0.9843749999999999;129.0;150.0;126.0;127;127.0;1.0;126.0
