infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;featurizer;attribute;feature;weight
dk;incremental;True;-1;3;OccurAttrFeaturizer;akaname;facilitytype;0.218
dk;incremental;True;-1;3;OccurAttrFeaturizer;akaname;risk;0.022
dk;incremental;True;-1;3;OccurAttrFeaturizer;akaname;address;2.008
dk;incremental;True;-1;3;OccurAttrFeaturizer;akaname;city;-0.001
dk;incremental;True;-1;3;OccurAttrFeaturizer;akaname;state;-0.001
dk;incremental;True;-1;3;OccurAttrFeaturizer;akaname;zip;0.703
dk;incremental;True;-1;3;OccurAttrFeaturizer;akaname;inspectiondate;1.436
dk;incremental;True;-1;3;OccurAttrFeaturizer;akaname;inspectiontype;0.301
dk;incremental;True;-1;3;OccurAttrFeaturizer;akaname;results;0.041
dk;incremental;True;-1;3;OccurAttrFeaturizer;facilitytype;inspectionid;0.881
dk;incremental;True;-1;3;OccurAttrFeaturizer;facilitytype;dbaname;1.455
dk;incremental;True;-1;3;OccurAttrFeaturizer;facilitytype;akaname;1.22
dk;incremental;True;-1;3;OccurAttrFeaturizer;facilitytype;license;1.41
dk;incremental;True;-1;3;OccurAttrFeaturizer;facilitytype;facilitytype;0.0
dk;incremental;True;-1;3;OccurAttrFeaturizer;facilitytype;risk;0.38
dk;incremental;True;-1;3;OccurAttrFeaturizer;facilitytype;address;1.29
dk;incremental;True;-1;3;OccurAttrFeaturizer;facilitytype;city;0.154
dk;incremental;True;-1;3;OccurAttrFeaturizer;facilitytype;state;0.317
dk;incremental;True;-1;3;OccurAttrFeaturizer;facilitytype;zip;0.447
dk;incremental;True;-1;3;OccurAttrFeaturizer;facilitytype;inspectiondate;0.577
dk;incremental;True;-1;3;OccurAttrFeaturizer;facilitytype;inspectiontype;0.271
dk;incremental;True;-1;3;OccurAttrFeaturizer;facilitytype;results;0.252
dk;incremental;True;-1;5;OccurAttrFeaturizer;akaname;inspectionid;2.028
dk;incremental;True;-1;5;OccurAttrFeaturizer;akaname;dbaname;2.011
dk;incremental;True;-1;5;OccurAttrFeaturizer;akaname;akaname;-0.0
dk;incremental;True;-1;5;OccurAttrFeaturizer;akaname;license;2.096
dk;incremental;True;-1;5;OccurAttrFeaturizer;akaname;facilitytype;0.085
dk;incremental;True;-1;5;OccurAttrFeaturizer;akaname;risk;0.015
dk;incremental;True;-1;5;OccurAttrFeaturizer;akaname;address;2.064
dk;incremental;True;-1;5;OccurAttrFeaturizer;akaname;city;-0.0
dk;incremental;True;-1;5;OccurAttrFeaturizer;akaname;state;-0.0
dk;incremental;True;-1;5;OccurAttrFeaturizer;akaname;zip;0.367
dk;incremental;True;-1;5;OccurAttrFeaturizer;akaname;inspectiondate;0.976
dk;incremental;True;-1;5;OccurAttrFeaturizer;akaname;inspectiontype;0.135
dk;incremental;True;-1;5;OccurAttrFeaturizer;akaname;results;0.026
dk;incremental;True;-1;5;OccurAttrFeaturizer;facilitytype;inspectionid;1.234
dk;incremental;True;-1;5;OccurAttrFeaturizer;facilitytype;dbaname;1.275
dk;incremental;True;-1;5;OccurAttrFeaturizer;facilitytype;akaname;1.226
dk;incremental;True;-1;5;OccurAttrFeaturizer;facilitytype;license;1.272
dk;incremental;True;-1;5;OccurAttrFeaturizer;facilitytype;facilitytype;0.0
dk;incremental;True;-1;5;OccurAttrFeaturizer;facilitytype;risk;0.277
dk;incremental;True;-1;5;OccurAttrFeaturizer;facilitytype;address;1.22
dk;incremental;True;-1;5;OccurAttrFeaturizer;facilitytype;city;0.204
dk;incremental;True;-1;5;OccurAttrFeaturizer;facilitytype;state;0.204
dk;incremental;True;-1;5;OccurAttrFeaturizer;facilitytype;zip;0.447
dk;incremental;True;-1;5;OccurAttrFeaturizer;facilitytype;inspectiondate;0.686
dk;incremental;True;-1;5;OccurAttrFeaturizer;facilitytype;inspectiontype;0.345
dk;incremental;True;-1;5;OccurAttrFeaturizer;facilitytype;results;0.21
dk;incremental;True;-1;7;OccurAttrFeaturizer;city;inspectionid;-0.0
dk;incremental;True;-1;7;OccurAttrFeaturizer;city;dbaname;-0.0
dk;incremental;True;-1;7;OccurAttrFeaturizer;city;akaname;-0.0
dk;incremental;True;-1;7;OccurAttrFeaturizer;city;license;-0.0
dk;incremental;True;-1;7;OccurAttrFeaturizer;city;facilitytype;0.0
dk;incremental;True;-1;7;OccurAttrFeaturizer;city;risk;-0.0
dk;incremental;True;-1;7;OccurAttrFeaturizer;city;address;-0.0
dk;incremental;True;-1;7;OccurAttrFeaturizer;city;city;0.0
dk;incremental;True;-1;7;OccurAttrFeaturizer;city;state;-0.0
dk;incremental;True;-1;7;OccurAttrFeaturizer;city;zip;-0.0
dk;incremental;True;-1;7;OccurAttrFeaturizer;city;inspectiondate;0.0
