batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells
1;2185;2381;1.0;0.8604651162790697;1.0;0.9249999999999999;1.0;111.0;129.0;111.0;119;111.0;0;111.0
2;2323;2170;0.8615384615384616;0.8296296296296296;0.9739130434782609;0.8452830188679247;0.9142857142857143;115.0;135.0;112.0;130;130.0;18.0;112.0
3;2307;2262;1.0;0.8320610687022901;1.0;0.9083333333333334;1.0;109.0;131.0;109.0;109;109.0;0;109.0
4;2197;2372;1.0;0.868421052631579;0.99;0.9295774647887324;0.9949748743718593;100.0;114.0;99.0;99;99.0;0;99.0
