batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells
1;2185;2381;1.0;0.8604651162790697;1.0;0.9249999999999999;1.0;111.0;129.0;111.0;119;111.0;0;111.0
2;3479;5293;0.8646616541353384;0.7516339869281046;0.9745762711864406;0.8041958041958043;0.9163346613545817;118.0;153.0;115.0;140;133.0;18.0;115.0
3;4054;8585;1.0;0.6042780748663101;0.9416666666666667;0.7533333333333333;0.9699570815450643;120.0;187.0;113.0;113;113.0;0;113.0
4;4699;11455;1.0;0.5691489361702128;0.9224137931034483;0.7254237288135594;0.9596412556053812;116.0;188.0;107.0;107;107.0;0;107.0
