iteration;batch;load_data;load_dcs;detect_errors;setup_domain;featurize_data;setup_model;fit_model;infer_repairs;get_inferred_values;generate_repaired_dataset;repaired_table_copy_time;save_stats_time
1;1;0.11530600000000035;0.0016329999999999956;0.034015999999999824;1.7038652896881104;2.18689;0.0013279999999999959;6.403405;0.08773999999999837;0.02783900000000017;0.04983200000000032;0.0;0.0
1;2;0.14919599999999988;0.0017099999999992122;0.03039100000000161;1.2511885166168213;0.2636420000000008;0.001246999999999332;3.4753139999999973;0.06292000000000542;0.028567999999999927;0.05064399999999836;0.0;0.0
1;3;0.14430300000000074;0.0022030000000015093;0.03648799999999852;1.4600021839141846;0.536209999999997;0.001077000000002215;5.887514000000003;0.0624079999999978;0.03035899999999714;0.05130900000000338;0.0;0.0
1;4;0.156517000000008;0.00171100000000024;0.030152999999998542;1.7975232601165771;5.041764000000001;0.00112899999999172;15.806288999999992;0.11471400000000642;0.028322000000002845;0.05289000000000499;0.0;0.0
1;5;0.14973000000000525;0.0021240000000091186;0.03467799999999954;1.5699524879455566;2.089433999999997;0.0011820000000000164;8.227294999999998;0.08413099999999929;0.029604999999989445;0.046849999999992065;0.0;0.0
1;6;0.13873200000000452;0.001465999999993528;0.031204999999999927;1.2941367626190186;0.9206580000000031;0.0008920000000216532;2.7234929999999906;0.06068199999998569;0.02795599999998899;0.04595900000001052;0.0;0.0
1;7;0.14324299999998402;0.0016910000000223135;0.02961300000001188;1.5377452373504639;2.148282999999992;0.000897999999978083;8.113101;0.07497000000000753;0.03022699999999645;0.0489729999999895;0.0;0.0
1;8;0.14356100000000538;0.0017259999999907905;0.0307809999999904;1.793165922164917;3.886583999999999;0.0008080000000063592;10.906121000000013;0.10666499999999246;0.02930900000001202;0.04953000000000429;0.0;0.0
1;9;0.1457849999999894;0.0016789999999957672;0.028784999999999172;1.2587532997131348;0.21111600000000408;0.0009390000000166765;2.700940000000003;0.046875999999997475;0.029234000000002425;0.04755000000000109;0.0;0.0
1;10;0.13740699999999606;0.001737999999988915;0.03010800000001268;1.5717976093292236;2.216318000000001;0.0010220000000060736;9.465194999999966;0.08057999999999765;0.026707999999985077;0.04781900000000405;0.0;0.0
1;11;0.13825800000000754;0.0016279999999824213;0.028850999999974647;1.5857329368591309;2.213200000000029;0.000753000000031534;8.141820999999993;0.0725739999999746;0.03003200000000561;0.04721000000000686;0.0;0.0
1;12;0.1410940000000096;0.001607999999976073;0.02969300000000885;1.5638902187347412;2.217934000000014;0.0007810000000176842;9.095529999999997;0.08794199999999819;0.026316000000008444;0.04625999999996111;0.0;0.0
1;13;0.1283379999999852;0.0016739999999799693;0.02791899999999714;1.4227917194366455;1.1770389999999793;0.0006960000000049149;6.148750000000007;0.06588900000002695;0.0283359999999675;0.04814299999998184;0.0;0.0
1;14;0.14782800000000407;0.001675000000034288;0.028125999999986107;1.632134199142456;2.4935090000000173;0.0009249999999951797;5.466330999999968;0.09601700000001756;0.029356000000007043;0.051262000000008356;0.0;0.0
1;15;0.1303570000000036;0.0016699999999900683;0.03024500000003627;1.7864606380462646;3.676804000000004;0.0007830000000126347;11.619092000000023;0.09763900000001513;0.026753999999982625;0.04554799999999659;0.0;0.0
1;16;0.135737000000006;0.0016239999999925203;0.02982600000001412;1.4819300174713135;1.3819750000000113;0.0006180000000313157;9.144615999999985;0.0725039999999808;0.030377999999984695;0.045250999999950636;0.0;0.0
1;17;0.14013199999999415;0.0015750000000025466;0.02991900000000669;1.3971331119537354;1.0897899999999936;0.0008090000000038344;5.415070000000014;0.05741199999999935;0.028262000000040643;0.04651200000000699;0.0;0.0
1;18;0.14714099999997643;0.0016759999999749198;0.030044999999972788;1.24137544631958;0.26633199999997714;0.0007459999999923639;2.7060969999999998;0.05475200000000768;0.028511000000037257;0.04677400000002763;0.0;0.0
1;19;0.1416650000000459;0.0016489999999862448;0.028485000000046057;1.3827168941497803;1.3554710000000227;0.0006600000000389628;5.520549000000017;0.069074999999998;0.0282399999999825;0.046990999999991345;0.0;0.0
1;20;0.1348639999999932;0.0017680000000268592;0.03383600000000797;1.937565803527832;4.765618000000018;0.0008719999999584616;14.318237999999951;0.1153630000000021;0.027410000000031687;0.04833900000005542;0.0;0.0
1;21;0.1393110000000206;0.0016899999999395732;0.03048799999999119;1.4164388179779053;1.420439999999985;0.000803000000018983;5.519938000000025;0.06754399999999805;0.029764000000000124;0.04671700000005785;0.0;0.0
1;22;0.13643500000000586;0.0016590000000178406;0.029359999999996944;1.4000720977783203;1.4903610000000072;0.0007149999999001011;5.604954000000021;0.0689590000000635;0.03012300000000323;0.04673999999999978;0.0;0.0
1;23;0.1387600000000475;0.0013569999999845095;0.029769999999984975;1.3551161289215088;1.1383610000000317;0.0009539999999788051;2.8045700000000124;0.061968999999976404;0.029015000000072177;0.047745999999960986;0.0;0.0
1;24;0.14478399999995872;0.001728000000071006;0.028736999999978252;1.2810933589935303;1.0868310000000747;0.0007719999999835636;2.7338889999999765;0.06148999999993521;0.029090999999993983;0.049888000000009924;0.0;0.0
1;25;0.1445659999999407;0.001722999999969943;0.030188000000066495;1.526087999343872;1.6045520000000124;0.0007740000000922009;8.236425999999938;0.07226600000001326;0.02832100000000537;0.0489549999999781;0.0;0.0
1;26;0.13892199999997956;0.0015069999999468564;0.02945599999998194;1.3211431503295898;0.9428679999999758;0.0007080000000314612;2.7408430000000408;0.06226000000003751;0.02805999999998221;0.04618700000003173;0.0;0.0
1;27;0.14909899999997833;0.0016859999999496722;0.0035540000000082728;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;28;0.13033899999993537;0.0016279999999824213;0.02984100000003309;1.6920366287231445;3.023584000000028;0.0008269999999583888;11.061105999999995;0.09742000000005646;0.028489999999919746;0.05048499999998057;0.0;0.0
1;29;0.14002400000003945;0.001638999999954649;0.030538999999976113;1.3322107791900635;1.2768439999999828;0.0006389999999782958;2.7277860000000373;0.06731600000000526;0.027479000000084852;0.042909000000008746;0.0;0.0
1;30;0.14408400000002075;0.0017749999999523425;0.0036240000000589134;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;31;0.12967700000001514;0.0016399999999521242;0.02712199999996301;1.2003085613250732;0.20797200000004068;0.0005740000000287182;2.7238479999999754;0.049239999999940665;0.027428999999983716;0.046136000000046806;0.0;0.0
1;32;0.12812499999995453;0.001665000000002692;0.03002600000002076;1.2628848552703857;0.9347229999999627;0.0008200000000897489;2.805994000000055;0.05544299999996838;0.028287999999975;0.04965500000002976;0.0;0.0
