batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
57;2;498;0.0;0.0;0.0;0;0;2.0;2.0;0.0;1;1.0;0;1.0;0.0
58;1;249;0;0.0;0.0;0;0;1.0;1.0;0.0;0;0;0;0;0.0
59;4;746;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;4.0;4.0;2.0;2;2.0;0;2.0;0.0
60;3;747;0;0.0;0.0;0;0;3.0;3.0;0.0;0;0;0;0;0.0
61;6;1498;0.75;0.5;0.5;0.6;0.6;6.0;6.0;3.0;4;4.0;0;4.0;0.0
62;3;748;0.0;0.0;0.0;0;0;3.0;3.0;0.0;1;1.0;0;1.0;0.0
63;4;746;1.0;0.25;0.25;0.4;0.4;4.0;4.0;1.0;1;1.0;0;1.0;0.0
64;3;498;1.0;0.6666666666666666;0.6666666666666666;0.8;0.8;3.0;3.0;2.0;2;2.0;0;2.0;0.0
65;1;249;0;0.0;0.0;0;0;1.0;1.0;0.0;0;0;0;0;0.0
66;2;498;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;2;2.0;0;2.0;0.0
67;2;498;0;0.0;0.0;0;0;2.0;2.0;0.0;0;0;0;0;0.0
68;1;249;0;0.0;0.0;0;0;1.0;1.0;0.0;0;0;0;0;0.0
69;2;498;0;0.0;0.0;0;0;2.0;2.0;0.0;0;0;0;0;0.0
70;1;249;0;0.0;0.0;0;0;1.0;1.0;0.0;0;0;0;0;0.0
71;4;998;0.5;0.25;0.25;0.3333333333333333;0.3333333333333333;4.0;4.0;1.0;2;2.0;0;2.0;0.0
72;6;995;1.0;0.16666666666666666;0.16666666666666666;0.2857142857142857;0.2857142857142857;6.0;6.0;1.0;1;1.0;0;1.0;0.0
73;2;249;0;0.0;0.0;0;0;2.0;2.0;0.0;0;0;0;0;0.0
74;1;250;0.0;0.0;0.0;0;0;1.0;1.0;0.0;1;1.0;0;1.0;0.0
75;3;497;1.0;0.3333333333333333;0.3333333333333333;0.5;0.5;3.0;3.0;1.0;1;1.0;0;1.0;0.0
76;3;498;1.0;0.3333333333333333;0.3333333333333333;0.5;0.5;3.0;3.0;1.0;1;1.0;0;1.0;0.0
77;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
78;3;749;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;3.0;3.0;2.0;3;3.0;0;3.0;0.0
79;5;1246;1.0;0.6;0.6;0.7499999999999999;0.7499999999999999;5.0;5.0;3.0;3;3.0;0;3.0;0.0
80;1;250;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;0;1.0;0.0
81;3;498;1.0;1.0;1.0;1.0;1.0;3.0;3.0;3.0;3;3.0;0;3.0;0.0
82;3;498;1.0;0.6666666666666666;0.6666666666666666;0.8;0.8;3.0;3.0;2.0;2;2.0;0;2.0;0.0
83;4;748;1.0;0.25;0.25;0.4;0.4;4.0;4.0;1.0;1;1.0;0;1.0;0.0
84;3;248;0;0.0;0.0;0;0;3.0;3.0;0.0;0;0;0;0;0.0
85;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
86;2;499;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;2;2.0;0;2.0;0.0
87;5;997;1.0;0.8;0.8;0.888888888888889;0.888888888888889;5.0;5.0;4.0;4;4.0;0;4.0;0.0
88;4;996;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;4.0;4.0;2.0;2;2.0;0;2.0;0.0
89;6;746;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;6.0;6.0;4.0;6;6.0;0;6.0;0.0
90;4;999;1.0;0.75;0.75;0.8571428571428571;0.8571428571428571;4.0;4.0;3.0;3;3.0;0;3.0;0.0
91;2;248;0;0.0;0.0;0;0;2.0;2.0;0.0;0;0;0;0;0.0
92;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
93;7;993;1.0;0.42857142857142855;0.42857142857142855;0.6;0.6;7.0;7.0;3.0;3;3.0;0;3.0;0.0
94;2;250;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;2;2.0;0;2.0;0.0
95;2;498;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;2.0;2.0;1.0;1;1.0;0;1.0;0.0
96;4;747;1.0;0.25;0.25;0.4;0.4;4.0;4.0;1.0;1;1.0;0;1.0;0.0
97;6;1496;0.5;0.16666666666666666;0.16666666666666666;0.25;0.25;6.0;6.0;1.0;2;2.0;0;2.0;0.0
98;1;250;0.0;0.0;0.0;0;0;1.0;1.0;0.0;1;1.0;0;1.0;0.0
99;6;995;1.0;0.3333333333333333;0.3333333333333333;0.5;0.5;6.0;6.0;2.0;2;2.0;0;2.0;0.0
100;3;747;0;0.0;0.0;0;0;3.0;3.0;0.0;0;0;0;0;0.0
