batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells
1;101;7907;0.6153846153846154;0.5;0.6;0.5517241379310345;0.6075949367088608;40.0;48.0;24.0;67;39.0;0;39.0
2;197;8847;0.7555555555555555;0.5666666666666667;0.5964912280701754;0.6476190476190475;0.6666666666666666;57.0;60.0;34.0;81;45.0;0;45.0
3;262;8827;0.6938775510204082;0.5483870967741935;0.5964912280701754;0.6126126126126127;0.6415094339622641;57.0;62.0;34.0;92;49.0;0;49.0
4;316;8858;0.6590909090909091;0.5272727272727272;0.5686274509803921;0.5858585858585857;0.6105263157894737;51.0;55.0;29.0;68;44.0;0;44.0
5;239;8823;0.5306122448979592;0.38235294117647056;0.4262295081967213;0.4444444444444445;0.4727272727272728;61.0;68.0;26.0;83;49.0;2.0;47.0
