infer_mode;features;train_using_all_batches;batch;featurizer;attribute;feature;weight
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;JURIS_DESC;2.593
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;KY_CD;0.144
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;LAW_CAT_CD;0.091
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;LOC_OF_OCCUR_DESC;0.177
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;OFNS_DESC;0.196
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;PATROL_BORO;0.094
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;PD_CD;0.323
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;PD_DESC;0.282
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;PREM_TYP_DESC;2.131
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;X_COORD_CD;0.745
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;Y_COORD_CD;0.807
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;Latitude;0.896
dk;incremental;False;1;OccurAttrFeaturizer;JURISDICTION_CODE;Longitude;0.899
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;ADDR_PCT_CD;0.367
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;BORO_NM;0.214
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;CRM_ATPT_CPTD_CD;0.306
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;JURISDICTION_CODE;2.739
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;JURIS_DESC;0.0
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;KY_CD;0.266
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;LAW_CAT_CD;0.188
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;LOC_OF_OCCUR_DESC;0.212
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;OFNS_DESC;0.25
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;PATROL_BORO;0.164
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;PD_CD;0.31
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;PD_DESC;0.317
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;PREM_TYP_DESC;2.233
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;X_COORD_CD;0.806
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;Y_COORD_CD;0.78
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;Latitude;0.886
dk;incremental;False;1;OccurAttrFeaturizer;JURIS_DESC;Longitude;0.838
dk;incremental;False;1;OccurAttrFeaturizer;KY_CD;ADDR_PCT_CD;0.399
dk;incremental;False;1;OccurAttrFeaturizer;KY_CD;BORO_NM;0.353
dk;incremental;False;1;OccurAttrFeaturizer;KY_CD;CRM_ATPT_CPTD_CD;0.351
dk;incremental;False;1;OccurAttrFeaturizer;KY_CD;JURISDICTION_CODE;0.383
dk;incremental;False;1;OccurAttrFeaturizer;KY_CD;JURIS_DESC;0.39
dk;incremental;False;1;OccurAttrFeaturizer;KY_CD;KY_CD;-0.0
dk;incremental;False;1;OccurAttrFeaturizer;KY_CD;LAW_CAT_CD;1.301
dk;incremental;False;1;OccurAttrFeaturizer;KY_CD;LOC_OF_OCCUR_DESC;0.413
dk;incremental;False;1;OccurAttrFeaturizer;KY_CD;OFNS_DESC;3.203
dk;incremental;False;1;OccurAttrFeaturizer;KY_CD;PATROL_BORO;0.394
dk;incremental;False;1;OccurAttrFeaturizer;KY_CD;PD_CD;3.452
dk;incremental;False;1;OccurAttrFeaturizer;KY_CD;PD_DESC;3.368
dk;incremental;False;1;OccurAttrFeaturizer;KY_CD;PREM_TYP_DESC;0.576
dk;incremental;False;1;OccurAttrFeaturizer;KY_CD;X_COORD_CD;1.025
dk;incremental;False;1;OccurAttrFeaturizer;KY_CD;Y_COORD_CD;1.129
dk;incremental;False;1;OccurAttrFeaturizer;KY_CD;Latitude;1.099
dk;incremental;False;1;OccurAttrFeaturizer;KY_CD;Longitude;1.129
dk;incremental;False;1;OccurAttrFeaturizer;LAW_CAT_CD;ADDR_PCT_CD;0.078
dk;incremental;False;1;OccurAttrFeaturizer;LAW_CAT_CD;BORO_NM;0.051
dk;incremental;False;1;OccurAttrFeaturizer;LAW_CAT_CD;CRM_ATPT_CPTD_CD;0.051
dk;incremental;False;1;OccurAttrFeaturizer;LAW_CAT_CD;JURISDICTION_CODE;0.035
dk;incremental;False;1;OccurAttrFeaturizer;LAW_CAT_CD;JURIS_DESC;0.042
dk;incremental;False;1;OccurAttrFeaturizer;LAW_CAT_CD;KY_CD;1.746
dk;incremental;False;1;OccurAttrFeaturizer;LAW_CAT_CD;LAW_CAT_CD;-0.0
dk;incremental;False;1;OccurAttrFeaturizer;LAW_CAT_CD;LOC_OF_OCCUR_DESC;0.047
dk;incremental;False;1;OccurAttrFeaturizer;LAW_CAT_CD;OFNS_DESC;1.543
dk;incremental;False;1;OccurAttrFeaturizer;LAW_CAT_CD;PATROL_BORO;0.05
dk;incremental;False;1;OccurAttrFeaturizer;LAW_CAT_CD;PD_CD;1.78
dk;incremental;False;1;OccurAttrFeaturizer;LAW_CAT_CD;PD_DESC;1.721
dk;incremental;False;1;OccurAttrFeaturizer;LAW_CAT_CD;PREM_TYP_DESC;0.111
dk;incremental;False;1;OccurAttrFeaturizer;LAW_CAT_CD;X_COORD_CD;0.355
