batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
1;510;3549;0.58;0.056862745098039215;0.056862745098039215;0.10357142857142856;0.10357142857142856;510.0;510.0;29.0;50;50.0;0;50.0;0.0
2;504;3548;0.6666666666666666;0.05555555555555555;0.05555555555555555;0.10256410256410256;0.10256410256410256;504.0;504.0;28.0;42;42.0;0;42.0;0.0
3;503;3552;0.8;0.0874751491053678;0.0874751491053678;0.15770609318996417;0.15770609318996417;503.0;503.0;44.0;55;55.0;0;55.0;0.0
4;501;3541;0.6730769230769231;0.06986027944111776;0.06986027944111776;0.12658227848101267;0.12658227848101267;501.0;501.0;35.0;52;52.0;0;52.0;0.0
5;504;3537;0.6829268292682927;0.05555555555555555;0.05555555555555555;0.10275229357798163;0.10275229357798163;504.0;504.0;28.0;41;41.0;0;41.0;0.0
6;505;3541;0.6341463414634146;0.05148514851485148;0.05148514851485148;0.09523809523809523;0.09523809523809523;505.0;505.0;26.0;41;41.0;0;41.0;0.0
7;498;3556;0.627906976744186;0.05421686746987952;0.05421686746987952;0.099815157116451;0.099815157116451;498.0;498.0;27.0;43;43.0;0;43.0;0.0
8;511;3531;0.6206896551724138;0.03522504892367906;0.03522504892367906;0.06666666666666667;0.06666666666666667;511.0;511.0;18.0;29;29.0;0;29.0;0.0
9;514;3531;0.5681818181818182;0.048638132295719845;0.048638132295719845;0.08960573476702507;0.08960573476702507;514.0;514.0;25.0;44;44.0;0;44.0;0.0
10;491;3546;0.45454545454545453;0.04073319755600815;0.04073319755600815;0.07476635514018691;0.07476635514018691;491.0;491.0;20.0;44;44.0;0;44.0;0.0
11;506;3542;0.4473684210526316;0.03359683794466403;0.03359683794466403;0.06250000000000001;0.06250000000000001;506.0;506.0;17.0;38;38.0;0;38.0;0.0
12;523;3533;0.6136363636363636;0.05162523900573614;0.05162523900573614;0.09523809523809523;0.09523809523809523;523.0;523.0;27.0;44;44.0;0;44.0;0.0
13;520;3521;0.7;0.08076923076923077;0.08076923076923077;0.14482758620689654;0.14482758620689654;520.0;520.0;42.0;60;60.0;0;60.0;0.0
14;498;3549;0.6666666666666666;0.05220883534136546;0.05220883534136546;0.09683426443202979;0.09683426443202979;498.0;498.0;26.0;39;39.0;0;39.0;0.0
15;489;3553;0.6666666666666666;0.06952965235173825;0.06952965235173825;0.12592592592592594;0.12592592592592594;489.0;489.0;34.0;51;51.0;0;51.0;0.0
16;489;3562;0.6444444444444445;0.05930470347648262;0.05930470347648262;0.10861423220973782;0.10861423220973782;489.0;489.0;29.0;45;45.0;0;45.0;0.0
