infer_mode;features;train_using_all_batches;batch;featurizer;attribute;feature;weight
dk;incremental;False;1;OccurAttrFeaturizer;surname;name;3.528
dk;incremental;False;1;OccurAttrFeaturizer;surname;surname;-0.0
dk;incremental;False;1;OccurAttrFeaturizer;surname;birthyear;1.987
dk;incremental;False;1;OccurAttrFeaturizer;surname;birthplace;3.919
dk;incremental;False;1;OccurAttrFeaturizer;surname;position;0.63
dk;incremental;False;1;OccurAttrFeaturizer;surname;team;2.204
dk;incremental;False;1;OccurAttrFeaturizer;surname;city;1.723
dk;incremental;False;1;OccurAttrFeaturizer;surname;stadium;1.543
dk;incremental;False;1;OccurAttrFeaturizer;surname;season;0.369
dk;incremental;False;1;OccurAttrFeaturizer;surname;manager;1.878
dk;incremental;False;1;OccurAttrFeaturizer;team;name;1.957
dk;incremental;False;1;OccurAttrFeaturizer;team;surname;1.755
dk;incremental;False;1;OccurAttrFeaturizer;team;birthyear;0.307
dk;incremental;False;1;OccurAttrFeaturizer;team;birthplace;1.317
dk;incremental;False;1;OccurAttrFeaturizer;team;position;0.082
dk;incremental;False;1;OccurAttrFeaturizer;team;team;-0.0
dk;incremental;False;1;OccurAttrFeaturizer;team;city;2.086
dk;incremental;False;1;OccurAttrFeaturizer;team;stadium;2.252
dk;incremental;False;1;OccurAttrFeaturizer;team;season;0.793
dk;incremental;False;1;OccurAttrFeaturizer;team;manager;3.173
all;incremental;False;1;OccurAttrFeaturizer;birthplace;name;5.292
all;incremental;False;1;OccurAttrFeaturizer;birthplace;surname;2.685
all;incremental;False;1;OccurAttrFeaturizer;birthplace;birthyear;0.592
all;incremental;False;1;OccurAttrFeaturizer;birthplace;birthplace;-0.0
all;incremental;False;1;OccurAttrFeaturizer;birthplace;position;0.042
all;incremental;False;1;OccurAttrFeaturizer;birthplace;team;0.408
all;incremental;False;1;OccurAttrFeaturizer;birthplace;city;0.202
all;incremental;False;1;OccurAttrFeaturizer;birthplace;stadium;0.296
all;incremental;False;1;OccurAttrFeaturizer;birthplace;season;0.091
all;incremental;False;1;OccurAttrFeaturizer;birthplace;manager;0.453
