batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9
1;5.99395751953125;-4.243131749975546e-42;0.7008853554725647;3.056067705154419;0.05422583967447281;0.6062104105949402;0.521274745464325;0.47843071818351746;0.05635380744934082;0.7724820971488953
batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9
1;5.838578224182129;-4.243131749975546e-42;0.7601044178009033;2.9393043518066406;0.028880173340439796;0.7485558390617371;0.6005730032920837;0.5952503085136414;0.09586621820926666;0.89549320936203
batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9
1;5.838578224182129;-4.243131749975546e-42;0.7601044178009033;2.9393043518066406;0.028880173340439796;0.7485558390617371;0.6005730032920837;0.5952503085136414;0.09586621820926666;0.89549320936203
batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9
1;5.99395751953125;-4.243131749975546e-42;0.7008853554725647;3.056067705154419;0.05422583967447281;0.6062104105949402;0.521274745464325;0.47843071818351746;0.05635380744934082;0.7724820971488953
2;5.96946382522583;-4.243131749975546e-42;0.6939496397972107;3.011129379272461;0.04266715422272682;0.5938804149627686;0.4994535744190216;0.48391106724739075;0.07427752017974854;0.741388738155365
2;5.909018516540527;-4.243131749975546e-42;0.7285122871398926;3.0387918949127197;0.0397154875099659;0.6549733877182007;0.5349902510643005;0.5031904578208923;0.10217168927192688;0.7952457070350647
3;5.964745998382568;-4.243131749975546e-42;0.6572934985160828;3.005791425704956;0.0645858570933342;0.6171811819076538;0.49731943011283875;0.4890119433403015;0.05193797126412392;0.7192127108573914
3;5.922692775726318;-4.243131749975546e-42;0.693427324295044;3.030083179473877;0.05351988226175308;0.6819477677345276;0.5287591218948364;0.5058462619781494;0.08021523058414459;0.7915648818016052
4;5.938641548156738;-4.243131749975546e-42;0.6863728761672974;3.0159928798675537;0.05066211149096489;0.598183810710907;0.49467676877975464;0.5054807066917419;0.09060779213905334;0.7392255067825317
4;5.905659198760986;-4.243131749975546e-42;0.7263721823692322;3.0345358848571777;0.0522196963429451;0.6382625699043274;0.5236776471138;0.5169954895973206;0.09821367263793945;0.7871751189231873
5;5.920319557189941;-4.243131749975546e-42;0.6747662425041199;3.017277479171753;0.0443202406167984;0.5520161390304565;0.48878538608551025;0.4734923541545868;0.05608085170388222;0.6980492472648621
5;5.878159046173096;-4.243131749975546e-42;0.6945912837982178;3.022078514099121;0.02871152013540268;0.6035968661308289;0.5133242607116699;0.49235138297080994;0.06021689623594284;0.7549160718917847
6;5.946918487548828;-4.243131749975546e-42;0.6972974538803101;3.059335947036743;0.05783197283744812;0.644151508808136;0.5356082916259766;0.530927300453186;0.0873236209154129;0.7418354749679565
6;5.916979789733887;-4.243131749975546e-42;0.7045437097549438;3.047126293182373;0.03349567949771881;0.6789665818214417;0.5583207607269287;0.5467948317527771;0.09389596432447433;0.7774348855018616
7;5.934340953826904;-4.243131749975546e-42;0.6588805913925171;3.048351287841797;0.031050926074385643;0.6190928220748901;0.5289477705955505;0.5151688456535339;0.08753912150859833;0.723705530166626
7;5.9144392013549805;-4.243131749975546e-42;0.6737658977508545;3.0410187244415283;0.029321348294615746;0.6432555913925171;0.5474251508712769;0.5280726552009583;0.09595039486885071;0.7436956167221069
8;5.939094543457031;-4.243131749975546e-42;0.6808234453201294;3.0468194484710693;0.04416367784142494;0.6653108596801758;0.5423239469528198;0.542246401309967;0.09528398513793945;0.7194984555244446
8;5.95145845413208;-4.243131749975546e-42;0.6654236316680908;3.0506935119628906;0.05864637345075607;0.6440030932426453;0.5280405282974243;0.5309323668479919;0.08168180286884308;0.7030167579650879
9;5.955550670623779;-4.243131749975546e-42;0.7191005945205688;3.071807384490967;0.022820129990577698;0.6825830936431885;0.5429278016090393;0.5361024141311646;0.0552133247256279;0.7696164846420288
9;5.973396301269531;-4.243131749975546e-42;0.7088397145271301;3.0691795349121094;0.05340711772441864;0.6606906652450562;0.5284633040428162;0.526483952999115;0.06653467565774918;0.7426735162734985
10;5.964489936828613;-4.243131749975546e-42;0.7015246748924255;3.0528805255889893;0.03065730817615986;0.6616386771202087;0.5357435345649719;0.49865561723709106;0.06806948035955429;0.7805767059326172
10;5.9748005867004395;-4.243131749975546e-42;0.687977135181427;3.045044183731079;0.04480516165494919;0.6414185762405396;0.5161563754081726;0.4866347014904022;0.05998259037733078;0.7504467368125916
11;5.95383358001709;-4.243131749975546e-42;0.6921343803405762;3.069112777709961;0.03955574333667755;0.620930552482605;0.5006685853004456;0.4777805805206299;0.09908989071846008;0.7781512141227722
11;5.935831069946289;-4.243131749975546e-42;0.697392463684082;3.064891815185547;0.019187837839126587;0.6379406452178955;0.516067385673523;0.4847569465637207;0.09933502972126007;0.8020946979522705
12;5.953114032745361;-4.243131749975546e-42;0.688180148601532;3.0635673999786377;0.06267253309488297;0.6305564641952515;0.5188540816307068;0.5098788142204285;0.06408071517944336;0.7835050225257874
12;5.935076713562012;-4.243131749975546e-42;0.6901938915252686;3.0626981258392334;0.04385726898908615;0.6500121355056763;0.5349457263946533;0.516866147518158;0.05627034977078438;0.8074359893798828
13;5.91701602935791;-4.243131749975546e-42;0.6557794213294983;3.0618059635162354;0.04912906140089035;0.626667320728302;0.5060649514198303;0.4938168525695801;0.06233477592468262;0.7206725478172302
13;5.904776573181152;-4.243131749975546e-42;0.6590564846992493;3.062697410583496;0.10090777277946472;0.708439290523529;0.5807900428771973;0.5719566941261292;0.11880017817020416;0.7833296656608582
14;5.952295780181885;-4.243131749975546e-42;0.7099722027778625;3.075389862060547;0.046148575842380524;0.6194559335708618;0.5031001567840576;0.49519065022468567;0.07548695057630539;0.7721594572067261
14;5.924620151519775;-4.243131749975546e-42;0.6993427872657776;3.06023907661438;0.08692483603954315;0.754547655582428;0.6026550531387329;0.6266055107116699;0.11672239750623703;0.8391246795654297
2;5.909018516540527;-4.243131749975546e-42;0.7285122871398926;3.0387918949127197;0.0397154875099659;0.6549733877182007;0.5349902510643005;0.5031904578208923;0.10217168927192688;0.7952457070350647
2;5.96946382522583;-4.243131749975546e-42;0.6939496397972107;3.011129379272461;0.04266715422272682;0.5938804149627686;0.4994535744190216;0.48391106724739075;0.07427752017974854;0.741388738155365
15;5.973216533660889;-4.243131749975546e-42;0.7175030708312988;3.0865478515625;0.036563217639923096;0.6191324591636658;0.510416567325592;0.48664048314094543;0.0637545958161354;0.7994903326034546
15;5.939516067504883;-4.243131749975546e-42;0.7086127400398254;3.06679105758667;0.04403376951813698;0.7130057215690613;0.5760689377784729;0.5780051946640015;0.07308273762464523;0.8472935557365417
16;5.977120876312256;-4.243131749975546e-42;0.6978589296340942;3.1029741764068604;0.05047965422272682;0.6356732249259949;0.530691921710968;0.5101063251495361;0.08156983554363251;0.7692094445228577
16;5.943994522094727;-4.243131749975546e-42;0.6868231296539307;3.090167999267578;0.079519122838974;0.7190653085708618;0.5965038537979126;0.5886106491088867;0.11175931990146637;0.8200653791427612
17;5.926337718963623;-4.243131749975546e-42;0.6617664098739624;3.062425136566162;0.04017869383096695;0.621452808380127;0.5326683521270752;0.5120334029197693;0.05113847553730011;0.7425302863121033
17;5.89047384262085;-4.243131749975546e-42;0.6397610902786255;3.0501930713653564;0.08126147091388702;0.7295002341270447;0.6202887296676636;0.6168907880783081;0.08525637537240982;0.8002793192863464
