batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9
1;2.2231287956237793;1.911173939704895;0.3026065230369568;1.3993350267410278;0.033623285591602325;-4.043306588962827e-41;2.016423225402832;2.3892385959625244;0.6750057339668274;3.223052978515625
batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9
1;2.066176652908325;1.7718418836593628;0.3226171135902405;1.2522996664047241;0.03721506521105766;-4.043306588962827e-41;2.0953803062438965;2.402116298675537;0.7517173290252686;3.2217044830322266
batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9
1;2.066176652908325;1.7718418836593628;0.3226171135902405;1.2522996664047241;0.03721506521105766;-4.043306588962827e-41;2.0953803062438965;2.402116298675537;0.7517173290252686;3.2217044830322266
batch_number;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9
1;2.2231287956237793;1.911173939704895;0.3026065230369568;1.3993350267410278;0.033623285591602325;-4.043306588962827e-41;2.016423225402832;2.3892385959625244;0.6750057339668274;3.223052978515625
2;2.1947147846221924;1.9342769384384155;0.2924301326274872;1.41640305519104;0.0418882854282856;-4.043306588962827e-41;2.077810525894165;2.390503406524658;0.676727831363678;3.140169382095337
2;2.099529504776001;1.8441671133041382;0.30410879850387573;1.3011473417282104;0.03440966084599495;-4.043306588962827e-41;2.084868907928467;2.376819610595703;0.7600868344306946;3.2327518463134766
3;2.1802964210510254;1.9449292421340942;0.28224748373031616;1.3878188133239746;0.05120103061199188;-4.043306588962827e-41;2.0847833156585693;2.391738176345825;0.7155256867408752;3.159870147705078
3;2.105081796646118;1.8645133972167969;0.2712666392326355;1.2827868461608887;0.029773471876978874;-4.043306588962827e-41;2.079395294189453;2.3845062255859375;0.7672648429870605;3.217486619949341
4;2.2366394996643066;1.939514398574829;0.3278579115867615;1.4468002319335938;0.01849515549838543;-4.043306588962827e-41;2.1003577709198;2.4041671752929688;0.7699435353279114;3.2272872924804688
