infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;featurizer;attribute;feature;weight
dk;incremental;True;-1;1;OccurAttrFeaturizer;team;birthplace;1.61
dk;incremental;True;-1;1;OccurAttrFeaturizer;team;position;0.191
dk;incremental;True;-1;1;OccurAttrFeaturizer;team;team;-0.0
dk;incremental;True;-1;1;OccurAttrFeaturizer;team;city;1.842
dk;incremental;True;-1;1;OccurAttrFeaturizer;team;stadium;1.932
dk;incremental;True;-1;1;OccurAttrFeaturizer;team;season;0.81
dk;incremental;True;-1;1;OccurAttrFeaturizer;team;manager;1.892
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthplace;name;3.398
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthplace;surname;3.347
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthplace;birthyear;0.523
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthplace;birthplace;-0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthplace;position;0.058
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthplace;team;0.411
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthplace;city;0.308
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthplace;stadium;0.322
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthplace;season;0.061
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthplace;manager;0.531
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthyear;name;2.704
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthyear;surname;2.689
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthyear;birthyear;-0.0
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthyear;birthplace;1.664
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthyear;position;0.057
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthyear;team;0.425
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthyear;city;0.312
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthyear;stadium;0.316
dk;incremental;True;-1;2;OccurAttrFeaturizer;birthyear;season;0.072
