batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
1;20;1985;1.0;0.15;0.15;0.2608695652173913;0.2608695652173913;20.0;20.0;3.0;3;3.0;0;3.0;0.0
2;55;3951;0.8181818181818182;0.17307692307692307;0.17307692307692307;0.28571428571428575;0.28571428571428575;52.0;52.0;9.0;11;11.0;0;11.0;0.0
3;81;5929;0.6875;0.15942028985507245;0.15942028985507245;0.2588235294117647;0.2588235294117647;69.0;69.0;11.0;16;16.0;0;16.0;0.0
4;106;7908;0.8823529411764706;0.18072289156626506;0.18072289156626506;0.3;0.3;83.0;83.0;15.0;17;17.0;1.0;16.0;0.0
5;135;9875;0.8823529411764706;0.15306122448979592;0.15306122448979592;0.2608695652173913;0.2608695652173913;98.0;98.0;15.0;17;17.0;0;17.0;0.0
6;167;11854;0.8695652173913043;0.17391304347826086;0.17391304347826086;0.2898550724637681;0.2898550724637681;115.0;115.0;20.0;23;23.0;0;23.0;0.0
7;193;13830;0.8421052631578947;0.2644628099173554;0.2644628099173554;0.4025157232704403;0.4025157232704403;121.0;121.0;32.0;38;38.0;0;38.0;0.0
8;223;15797;1.0;0.2184873949579832;0.2184873949579832;0.3586206896551724;0.3586206896551724;119.0;119.0;26.0;26;26.0;0;26.0;0.0
9;251;17765;0.9444444444444444;0.14049586776859505;0.14049586776859505;0.2446043165467626;0.2446043165467626;121.0;121.0;17.0;18;18.0;0;18.0;0.0
10;276;19735;0.7333333333333333;0.08527131782945736;0.08527131782945736;0.15277777777777776;0.15277777777777776;129.0;129.0;11.0;15;15.0;0;15.0;0.0
11;307;21720;0.8636363636363636;0.12751677852348994;0.12751677852348994;0.2222222222222222;0.2222222222222222;149.0;149.0;19.0;22;22.0;0;22.0;0.0
12;323;23688;0.8333333333333334;0.0684931506849315;0.0684931506849315;0.12658227848101267;0.12658227848101267;146.0;146.0;10.0;12;12.0;0;12.0;0.0
13;360;25667;1.0;0.14450867052023122;0.14450867052023122;0.25252525252525254;0.25252525252525254;173.0;173.0;25.0;25;25.0;0;25.0;0.0
14;387;27632;0.9444444444444444;0.09714285714285714;0.09714285714285714;0.17616580310880828;0.17616580310880828;175.0;175.0;17.0;18;18.0;0;18.0;0.0
15;416;29622;0.782608695652174;0.0962566844919786;0.0962566844919786;0.1714285714285714;0.1714285714285714;187.0;187.0;18.0;23;23.0;0;23.0;0.0
16;436;31587;0.875;0.07407407407407407;0.07407407407407407;0.13658536585365852;0.13658536585365852;189.0;189.0;14.0;16;16.0;0;16.0;0.0
17;465;33550;0.8235294117647058;0.06862745098039216;0.06862745098039216;0.12669683257918554;0.12669683257918554;204.0;204.0;14.0;17;17.0;0;17.0;0.0
18;495;35531;0.9583333333333334;0.10454545454545454;0.10454545454545454;0.1885245901639344;0.1885245901639344;220.0;220.0;23.0;24;24.0;0;24.0;0.0
