batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells
1;1946;2596;1.0;0.8348623853211009;1.0;0.9099999999999999;1.0;91.0;109.0;91.0;91;91.0;0;91.0
2;3424;5337;0.8583333333333333;0.6242424242424243;0.9537037037037037;0.7228070175438598;0.9035087719298245;108.0;165.0;103.0;120;120.0;17.0;103.0
3;3767;8677;1.0;0.5684210526315789;0.9310344827586207;0.7248322147651006;0.9642857142857143;116.0;190.0;108.0;108;108.0;0;108.0
4;6294;11063;0.9928057553956835;0.6160714285714286;0.9387755102040817;0.7603305785123967;0.965034965034965;147.0;224.0;138.0;139;139.0;1.0;138.0
