iteration;batch;load_data;load_dcs;detect_errors;setup_domain;featurize_data;setup_model;fit_model;infer_repairs;get_inferred_values;generate_repaired_dataset;repaired_table_copy_time;save_stats_time
1;1;0.10602299999999332;0.0016719999999850188;0.2094290000000001;3.0440289974212646;4.577345999999977;0.0004940000000033251;7.808675999999991;0.407367000000022;0.01875200000000632;0.06341500000002043;0;0.007912999999973636
1;2;0.11722300000002406;0.0016660000000001673;0.2150310000000104;3.22043776512146;6.300015999999971;0.0011319999999841457;4.608963000000017;0.4371690000000399;0.01867899999990641;0.06717700000001514;0;0.014901000000008935
1;3;0.12068899999997029;0.0016989999999168504;0.22670399999992696;3.096674680709839;4.768169999999941;0.001153999999928601;4.472128999999995;0.43764099999998507;0.019190999999977976;0.06409199999995963;0;0.02043900000001031
1;4;0.11785700000007182;0.0016749999999774445;0.22909199999992325;3.239569902420044;6.192979000000037;0.0011509999999361753;5.433451000000105;0.49719199999992725;0.019516999999950713;0.0700050000000374;0;0.026787999999896783
2;1;0.11761100000001079;0.001692999999931999;0.21058800000002975;3.1227827072143555;4.714146999999912;0.0004900000000134241;7.810378000000014;0.41136299999993753;0.018686999999999898;0.06358299999999417;0;0.007968000000005304
2;2;0.11787600000002385;0.0017139999999926658;0.21511099999997896;3.3620798587799072;6.3400519999999005;0.001157999999918502;4.620588999999995;0.44711000000006607;0.018810000000030414;0.06775000000004638;0;0.015853999999990265
2;3;0.11834799999996903;0.0016910000000507353;0.22810000000004038;3.246124029159546;4.770938000000001;0.0011319999999841457;4.468028000000004;0.4390440000000808;0.019317999999998392;0.0644600000000537;0;0.02045399999997244
2;4;0.11810500000001412;0.001684999999952197;0.22892400000000634;3.381974697113037;6.181912000000011;0.0011530000000448126;5.473877000000016;0.5006120000000465;0.01947799999993549;0.06967299999996612;0;0.027893000000062784
3;1;0.11485100000004422;0.0016850000000658838;0.21072800000001735;3.092839241027832;4.645818000000077;0.0004979999999932261;7.780300000000011;0.41155700000001616;0.018721000000027743;0.06365800000003219;0;0.008015999999997803
3;2;0.1176789999999528;0.001672999999982494;0.21582100000000537;3.3827030658721924;6.312784999999963;0.0011419999999588981;4.6151290000000245;0.442662999999925;0.01892699999996239;0.06782700000007935;0;0.015307000000007065
3;3;0.11828900000000431;0.0016719999999850188;0.22747600000002421;3.2758023738861084;4.7987260000001015;0.001136999999971522;4.4788480000000845;0.4386570000000347;0.019496000000003733;0.06458399999985431;0;0.020202000000040243
3;4;0.11777999999992517;0.0016799999999648207;0.22912499999995362;3.362102746963501;6.170987999999966;0.0011650000000145155;5.463297000000011;0.5022650000000795;0.019671999999900436;0.06962299999997867;0;0.027493000000049506
