batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells
1;1946;2596;1.0;0.8348623853211009;1.0;0.9099999999999999;1.0;91.0;109.0;91.0;91;91.0;0;91.0
2;2011;2470;0.8559322033898306;0.6870748299319728;0.9528301886792453;0.7622641509433963;0.9017857142857143;106.0;147.0;101.0;118;118.0;17.0;101.0
3;2172;2387;1.0;0.8288288288288288;0.989247311827957;0.9064039408866995;0.9945945945945946;93.0;111.0;92.0;92;92.0;0;92.0
4;2201;2369;0.9917355371900827;0.8450704225352113;0.975609756097561;0.9125475285171103;0.9836065573770492;123.0;142.0;120.0;121;121.0;1.0;120.0
