iteration;batch;load_data;load_dcs;detect_errors;setup_domain;featurize_data;setup_model;fit_model;infer_repairs;get_inferred_values;generate_repaired_dataset
1;1;0.06049900000000008;0.001675000000000093;0.131915;2.3364992141723633;1.9250350000000003;0.0005499999999996064;5.248019;0.24933599999999956;0.015107999999999677;0.5330639999999995
1;2;0.05784899999999915;0.0016580000000008255;0.19420599999999943;3.045903444290161;3.547631000000001;0.00044899999999969964;10.014586999999999;0.31897200000000225;0.017058999999999713;1.0265810000000002
1;3;0.058311999999997255;0.001684000000000907;0.26863999999999777;4.129641532897949;6.288566999999993;0.0004789999999985639;16.274277999999995;0.6645730000000043;0.02022200000000396;1.4136439999999908
1;4;0.058748000000001355;0.001677999999998292;0.31600699999999904;5.074966192245483;9.246465999999998;0.0004950000000008004;23.43535700000001;0.8062129999999996;0.02210399999999879;1.9129009999999909
1;5;0.05837400000000059;0.0016680000000093287;0.39190599999999165;6.179553985595703;13.211249999999993;0.0004979999999932261;28.029672000000005;1.2211749999999881;0.025366999999988593;2.2266039999999805
1;6;0.058459999999996626;0.0016760000000033415;0.43414599999999837;6.622581243515015;13.383733000000007;0.0004979999999932261;35.849503;1.3510919999999942;0.027380999999991218;2.599125000000015
1;7;0.058526999999998;0.0016810000000191394;0.43441400000000385;7.37160325050354;17.384413000000023;0.000499000000019123;45.39961600000001;1.5508629999999926;0.026974000000052456;2.92197299999998
1;8;0.058900999999991654;0.0016929999999888423;0.4701800000000276;8.754971742630005;19.959542999999996;0.0004969999999957508;57.809236999999996;1.7075790000000097;0.028490999999974065;3.4046829999999773
1;9;0.05858100000000377;0.0016620000000102664;0.48080299999998033;9.931228876113892;25.540258999999992;0.0005330000000185464;70.85459800000001;1.8054179999999747;0.028830000000027667;3.7264190000000212
1;10;0.05883199999999533;0.001676999999972395;0.5228179999999725;10.772231578826904;28.505764;0.000505999999973028;79.27729699999998;2.0501789999999573;0.030924000000027263;4.038500999999883
2;1;0.05592999999998938;0.0016660000000001673;0.1333280000000059;2.4673612117767334;1.8777989999999818;0.0004319999999324864;5.4991959999999835;0.17349500000000262;0.014865000000099826;0.5332509999999502
2;2;0.058283000000074026;0.0016739999999799693;0.1968410000000631;3.2177929878234863;3.42698299999995;0.0004340000000411237;9.993082999999956;0.31575599999996484;0.017348999999967418;1.0265340000000833
2;3;0.058577999999897656;0.0016640000000052169;0.2731420000000071;4.081135034561157;5.955471999999986;0.0004529999999931533;16.18278100000009;0.5597040000000106;0.020321999999964646;1.4102240000000847
2;4;0.13198699999998098;0.0016619999998965795;0.31495300000005955;4.9688262939453125;8.730286999999976;0.0004439999999021893;23.315473999999995;0.7646689999999126;0.021811000000070635;1.8988610000000108
2;5;0.058495999999991;0.001668999999992593;0.3898779999999533;6.224835395812988;12.57543899999996;0.0004630000000815926;28.136078999999995;1.0861479999999801;0.025373999999942498;2.223135999999954
2;6;0.05907799999999952;0.0016660000000001673;0.43639199999995526;6.680019855499268;12.78465600000004;0.0004529999999931533;35.686743999999976;1.201628000000028;0.027381999999988693;2.691568000000075
2;7;0.05880899999999656;0.0016630000000077416;0.43703800000002957;7.6495561599731445;16.613857999999937;0.0004989999999907013;45.39659199999994;1.472498000000087;0.027107999999998356;3.0467199999999366
2;8;0.05868400000008478;0.0016870000000608343;0.47427300000003925;8.595396041870117;19.56445599999995;0.0005220000000463187;58.00662;1.7002040000000989;0.02878000000009706;3.4123389999999745
2;9;0.05846499999995558;0.0016759999999749198;0.4778079999999818;9.935317754745483;25.086487999999918;0.0005269999999200081;70.39374399999997;1.8064629999998942;0.029056999999966138;3.7032419999998183
2;10;0.05874000000017077;0.0016630000000077416;0.5217099999999846;10.809256076812744;27.970370000000003;0.0005000000001018634;79.32487399999991;2.150041999999985;0.030627999999978783;4.035327000000052
3;1;0.05716000000006716;0.0016510000000380387;0.13347999999996318;2.4090428352355957;1.8721630000000005;0.00043299999992996163;5.566225999999915;0.17319599999996171;0.014926999999943291;0.5358989999999721
3;2;0.058345000000144864;0.0016760000000886066;0.1961740000001555;3.0788519382476807;3.4485870000000887;0.0004340000000411237;9.884787999999844;0.3039850000000115;0.01741900000001806;1.0467120000000705
3;3;0.0582889999998315;0.0016520000001492008;0.2724029999999402;4.095820903778076;5.973391999999876;0.0004360000000360742;16.114675999999918;0.5737790000000587;0.02041300000018964;1.4143670000000839
3;4;0.05855300000007446;0.001665000000002692;0.39044300000000476;4.998727083206177;8.714482000000089;0.00044300000013208773;23.371464999999944;0.7824289999998655;0.021913000000040483;1.9113820000000032
3;5;0.05894799999987299;0.0016470000000481377;0.3925890000000436;6.088453054428101;12.686344999999847;0.00044200000002092565;28.143706000000066;1.0878559999998743;0.025167000000010376;2.2213580000002366
3;6;0.058672999999998865;0.001659999999901629;0.4354249999998956;6.668187618255615;12.78964800000017;0.0004490000001169392;35.809954999999945;1.202752000000146;0.027298999999857188;2.6919150000003356
3;7;0.05891599999995378;0.001668999999992593;0.43822399999999107;7.522543907165527;16.614107999999987;0.0005000000001018634;45.45400300000006;1.4634969999999612;0.027129000000059023;3.042212999999947
3;8;0.05890399999998408;0.0016620000001239532;0.47107100000016544;8.647369384765625;19.603702999999996;0.0005029999999806023;58.359694999999874;1.6105190000000675;0.028799999999819192;3.393929999999955
3;9;0.058995999999979176;0.00169000000005326;0.5603289999999106;9.960291147232056;24.825939000000062;0.0005029999999806023;70.67541200000005;1.803038000000015;0.029434000000037486;3.7105770000000575
