batch;dk_cells;training_cells;clean_dataset_ratio;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;repairs_on_correct_cells;repairs_on_incorrect_cells
1;5311;3656;0.9821176470588235;0.9666666666666667;0.4393939393939394;0.5132743362831859;0.6041666666666667;0.6705202312138728;226.0;264.0;116.0;120.0;4.0;116.0
2;9126;8530;0.9853529411764705;1.0;0.37279596977329976;0.45962732919254656;0.5431192660550458;0.6297872340425532;322.0;397.0;148.0;148.0;0;148.0
