batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
1;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;2;249;0;0.0;0.0;0;0;2.0;2.0;0.0;0;0;0;0;0.0
3;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;1;124;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;0;1.0;0.0
5;1;124;0;0.0;0.0;0;0;1.0;1.0;0.0;0;0;0;0;0.0
6;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;2;249;1.0;0.5;0.5;0.6666666666666666;0.6666666666666666;2.0;2.0;1.0;1;1.0;0;1.0;0.0
8;1;124;0;0.0;0.0;0;0;1.0;1.0;0.0;0;0;0;0;0.0
9;1;124;0;0.0;0.0;0;0;1.0;1.0;0.0;0;0;0;0;0.0
10;3;373;1.0;0.3333333333333333;0.3333333333333333;0.5;0.5;3.0;3.0;1.0;1;1.0;0;1.0;0.0
11;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;1;124;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;0;1.0;0.0
15;1;124;0;0.0;0.0;0;0;1.0;1.0;0.0;0;0;0;0;0.0
16;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;1;124;0;0.0;0.0;0;0;1.0;1.0;0.0;0;0;0;0;0.0
18;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;1;125;0;0.0;0.0;0;0;1.0;1.0;0.0;0;0;0;0;0.0
20;1;124;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;0;1.0;0.0
21;1;125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;0;1.0;0.0
22;1;124;0;0.0;0.0;0;0;1.0;1.0;0.0;0;0;0;0;0.0
23;1;124;0;0.0;0.0;0;0;1.0;1.0;0.0;0;0;0;0;0.0
24;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;3;372;0;0.0;0.0;0;0;3.0;3.0;0.0;0;0;0;0;0.0
26;1;124;0;0.0;0.0;0;0;1.0;1.0;0.0;0;0;0;0;0.0
27;1;124;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;0;1.0;0.0
28;2;123;0;0.0;0.0;0;0;2.0;2.0;0.0;0;0;0;0;0.0
