infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;featurizer;attribute;feature;weight
dk;incremental;True;-1;9;OccurAttrFeaturizer;birthplace;birthyear;0.423
dk;incremental;True;-1;9;OccurAttrFeaturizer;birthplace;birthplace;-0.0
dk;incremental;True;-1;9;OccurAttrFeaturizer;birthplace;position;0.03
dk;incremental;True;-1;9;OccurAttrFeaturizer;birthplace;team;0.322
dk;incremental;True;-1;9;OccurAttrFeaturizer;birthplace;city;0.245
dk;incremental;True;-1;9;OccurAttrFeaturizer;birthplace;stadium;0.246
dk;incremental;True;-1;9;OccurAttrFeaturizer;birthplace;season;0.031
dk;incremental;True;-1;9;OccurAttrFeaturizer;birthplace;manager;0.392
dk;incremental;True;-1;10;OccurAttrFeaturizer;manager;name;2.538
dk;incremental;True;-1;10;OccurAttrFeaturizer;manager;surname;2.615
dk;incremental;True;-1;10;OccurAttrFeaturizer;manager;birthyear;0.305
dk;incremental;True;-1;10;OccurAttrFeaturizer;manager;birthplace;1.615
dk;incremental;True;-1;10;OccurAttrFeaturizer;manager;position;0.058
dk;incremental;True;-1;10;OccurAttrFeaturizer;manager;team;3.537
dk;incremental;True;-1;10;OccurAttrFeaturizer;manager;city;1.885
dk;incremental;True;-1;10;OccurAttrFeaturizer;manager;stadium;1.839
dk;incremental;True;-1;10;OccurAttrFeaturizer;manager;season;0.889
dk;incremental;True;-1;10;OccurAttrFeaturizer;manager;manager;0.0
dk;incremental;True;-1;10;OccurAttrFeaturizer;stadium;name;1.562
dk;incremental;True;-1;10;OccurAttrFeaturizer;stadium;surname;1.644
dk;incremental;True;-1;10;OccurAttrFeaturizer;stadium;birthyear;0.208
dk;incremental;True;-1;10;OccurAttrFeaturizer;stadium;birthplace;1.137
dk;incremental;True;-1;10;OccurAttrFeaturizer;stadium;position;0.043
dk;incremental;True;-1;10;OccurAttrFeaturizer;stadium;team;2.475
dk;incremental;True;-1;10;OccurAttrFeaturizer;stadium;city;2.803
dk;incremental;True;-1;10;OccurAttrFeaturizer;stadium;stadium;0.0
dk;incremental;True;-1;10;OccurAttrFeaturizer;stadium;season;0.265
dk;incremental;True;-1;10;OccurAttrFeaturizer;stadium;manager;1.519
dk;incremental;True;-1;10;OccurAttrFeaturizer;team;name;1.766
dk;incremental;True;-1;10;OccurAttrFeaturizer;team;surname;1.781
dk;incremental;True;-1;10;OccurAttrFeaturizer;team;birthyear;0.229
dk;incremental;True;-1;10;OccurAttrFeaturizer;team;birthplace;1.143
dk;incremental;True;-1;10;OccurAttrFeaturizer;team;position;-0.002
dk;incremental;True;-1;10;OccurAttrFeaturizer;team;team;0.0
dk;incremental;True;-1;10;OccurAttrFeaturizer;team;city;2.139
