iteration;batch;load_data;load_dcs;detect_errors;setup_domain;featurize_data;setup_model;fit_model;infer_repairs;get_inferred_values;generate_repaired_dataset;repaired_table_copy_time;save_stats_time
1;1;0.0970629999999999;0.0008500000000002395;0.10967599999999988;2.0687689781188965;0.4787529999999993;0.0014199999999995327;1.5250180000000002;0.05984600000000029;0.048670000000000435;0.03399999999999981;0.0;0.0
1;2;0.1295010000000012;0.0008719999999993178;0.10283800000000021;1.7102384567260742;0.5662859999999998;0.0012490000000013879;1.9897030000000004;0.06655499999999925;0.031166999999999945;0.028708999999999207;0.0;0.0
1;3;0.13244600000000162;0.0008830000000017435;0.10238800000000126;1.76847243309021;0.5353180000000002;0.0013310000000004152;1.118665;0.06009200000000092;0.030680000000000263;0.029229999999998313;0.0;0.0
1;4;0.12405100000000147;0.0008499999999997954;0.07598600000000033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;5;0.12571200000000005;0.0009319999999988227;0.10790099999999825;1.6764426231384277;0.600794999999998;0.0008189999999999031;1.441713;0.059029999999999916;0.029246999999998025;0.027611000000000274;0.0;0.0
1;6;0.3012820000000005;0.0008539999999968018;0.07444499999999721;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;7;0.12558800000000048;0.0009650000000007708;0.11023699999999792;1.7092406749725342;0.49195900000000137;0.001074000000002684;1.7258210000000034;0.0577690000000004;0.03203100000000347;0.028773999999998523;0.0;0.0
1;8;0.12892599999999987;0.0010290000000026112;0.10482600000000275;1.7435293197631836;0.5729779999999991;0.0009870000000020696;1.1026900000000026;0.057812000000005526;0.030689999999999884;0.02996000000000265;0.0;0.0
1;9;0.13559399999999755;0.0009579999999971278;0.10464699999999993;1.659132480621338;0.4471240000000023;0.0019520000000028404;1.3399979999999942;0.05717399999998918;0.030860000000004106;0.028964999999999463;0.0;0.0
1;10;0.1332530000000105;0.0008739999999960446;0.1031679999999966;1.6162810325622559;0.1365339999999975;0.0007420000000024629;0.4833320000000043;0.1367130000000003;0.029649999999989518;0.028895000000005666;0.0;0.0
1;11;0.1262609999999995;0.000844000000000733;0.10509399999999403;1.6936161518096924;0.6768479999999926;0.0008200000000044838;2.386447000000004;0.059648000000009915;0.03165900000000477;0.029439999999993915;0.0;0.0
