infer_mode;features;train_using_all_batches;iteration;skip_training_starting_batch;batch;load_data;load_dcs;detect_errors;setup_domain;featurize_data;setup_model;fit_model;infer_repairs;get_inferred_values;generate_repaired_dataset;repaired_table_copy_time;save_stats_time
dk;incremental;True;0;-1;1;0.160107;0.0016289999999998805;0.03966700000000012;2.632309913635254;12.772196000000001;0.003697999999999979;43.87994499999999;0.3050000000000068;0.03284800000000132;0.09210499999998945;0;0.009409000000005108
dk;incremental;True;0;-1;2;0.18983700000001136;0.0018940000000071677;0.07920199999999511;4.892224311828613;25.471757999999994;0.010220000000003893;77.52050699999998;0.5414070000000208;0.03287599999998747;0.11960499999995022;0.04211600000002136;0.012548000000009552
dk;incremental;True;0;-1;3;0.18752699999998867;0.00178500000001236;0.07314099999999257;8.09097957611084;69.02267599999999;0.017016000000012355;132.866107;1.0637590000000046;0.030457000000012613;0.13374700000002804;0.04184200000003102;0.011877999999967415
dk;incremental;True;0;-1;4;0.19273700000002236;0.00235200000003033;0.09095700000000306;0.51702880859375;0.2754979999999705;0.00970999999998412;0.0004150000000322507;0.06912399999998797;0.03465800000003583;0.13706500000006372;0.04466399999995474;0.013704999999959
dk;incremental;True;0;-1;5;0.1873199999999997;0.004926999999952386;0.09642399999995632;12.091771841049194;64.814345;0.010650000000055115;169.405213;1.1033029999999826;0.03155800000001818;0.14515500000004522;0.04798399999992853;0.010839000000032684
dk;incremental;True;0;-1;6;0.2007660000000442;0.004382999999961612;0.09220000000004802;3.448976993560791;13.10960399999999;0.011058000000048196;66.454431;0.2720130000000154;0.03217999999992571;0.14838799999995445;0.051111999999989166;0.009528000000045722
dk;incremental;True;0;-1;7;0.1652959999998984;0.0016969999999218999;0.0946840000000293;0.5369508266448975;0.2598160000000007;0.012655000000108885;0.0005080000000816653;0.08441799999991417;0.02988299999992705;0.16361700000004475;0.07084499999996297;0.011157999999909407
dk;incremental;True;0;-1;8;0.180007000000046;0.001680999999962296;0.09474099999999908;0.5494303703308105;0.27513399999998;0.01400499999999738;0.00041400000009161886;0.07401800000002368;0.030217999999990752;0.16942099999994298;0.058801000000016757;0.01000099999998838
dk;incremental;True;0;-1;9;0.1919550000000072;0.0018459999998867715;0.10959000000002561;0.5619652271270752;0.2961729999999534;0.02072900000007394;0.0005130000001827284;0.08034600000019054;0.029895000000124128;0.19107200000007651;0.06697699999995166;0.012222999999949025
dk;incremental;True;0;-1;10;0.17787300000009054;0.0017159999999876163;0.1030430000000706;0.553325891494751;0.3260760000000573;0.014559999999846696;0.0005190000001675799;0.09056699999996454;0.031582000000071275;0.1895239999998921;0.066475999999966;0.013650000000097862
